metric_type,method,method_param,metric_value,repeat,dataset
MPJPE,GRU,type-GRU_mu_sigma-False,7.684579542101853,0,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-True,8.401561884067343,0,MABE_task1_60stride60
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,11.04017771102886,0,MABE_task1_60stride60
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,9.131963016283434,0,MABE_task1_60stride60
MPJPE,TCN,type-TCN_mu_sigma-False,11.545535119471658,0,MABE_task1_60stride60
MPJPE,linear_interp,linear_interp,34.77860797581698,0,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-False,6.501503632027529,0,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-True,6.218371507995861,0,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.7379986906553233,0,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.697261565276366,0,MABE_task1_60stride60
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.55800051927092,0,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.645871058947578,0,MABE_task1_60stride60
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.5328313532443807,0,MABE_task1_60stride60
PCK@0.01,linear_interp,linear_interp,0.3639443730345323,0,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.8147119713099088,0,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.8305511499362382,0,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-False,8.774420303101182,0,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-True,9.473750617346838,0,MABE_task1_60stride60
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,12.98496699086789,0,MABE_task1_60stride60
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,10.307006802826804,0,MABE_task1_60stride60
RMSE,TCN,type-TCN_mu_sigma-False,13.593201099552436,0,MABE_task1_60stride60
RMSE,linear_interp,linear_interp,40.479604287946735,0,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-False,7.499103645043281,0,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-True,7.227323808277074,0,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-False,7.685979143878534,1,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-True,8.531059271816176,1,MABE_task1_60stride60
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,11.77613239675442,1,MABE_task1_60stride60
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,9.347754617029706,1,MABE_task1_60stride60
MPJPE,TCN,type-TCN_mu_sigma-False,11.63054983616098,1,MABE_task1_60stride60
MPJPE,linear_interp,linear_interp,32.88379434634701,1,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-False,6.651913208730722,1,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-True,6.355777692152957,1,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.745751876709427,1,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.6922371225171242,1,MABE_task1_60stride60
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.5337860403504388,1,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.6401241518311975,1,MABE_task1_60stride60
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.5371438721122163,1,MABE_task1_60stride60
PCK@0.01,linear_interp,linear_interp,0.35115208955213073,1,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.8073799019751962,1,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.8229204650964334,1,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-False,8.913669423282197,1,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-True,9.748050236438146,1,MABE_task1_60stride60
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,14.62693542776754,1,MABE_task1_60stride60
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,10.624469596423546,1,MABE_task1_60stride60
RMSE,TCN,type-TCN_mu_sigma-False,13.543418157218353,1,MABE_task1_60stride60
RMSE,linear_interp,linear_interp,38.308450241049336,1,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-False,7.693905364115879,1,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-True,7.440799473209575,1,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-False,7.416815413290629,2,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-True,8.464320144621214,2,MABE_task1_60stride60
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,11.292956230146025,2,MABE_task1_60stride60
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,8.986889794808135,2,MABE_task1_60stride60
MPJPE,TCN,type-TCN_mu_sigma-False,11.560057690511089,2,MABE_task1_60stride60
MPJPE,linear_interp,linear_interp,34.01986023927383,2,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-False,6.431561157587826,2,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-True,6.130775118072691,2,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.7609132631203716,2,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.6899678083749172,2,MABE_task1_60stride60
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.5578308877286603,2,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.6601872773996768,2,MABE_task1_60stride60
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.5340223365365374,2,MABE_task1_60stride60
PCK@0.01,linear_interp,linear_interp,0.35273110591421913,2,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.8247189585879877,2,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.835087316630609,2,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-False,8.565154056715924,2,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-True,9.527642952315945,2,MABE_task1_60stride60
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,13.751878247231526,2,MABE_task1_60stride60
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,10.17484197797142,2,MABE_task1_60stride60
RMSE,TCN,type-TCN_mu_sigma-False,13.470467832048405,2,MABE_task1_60stride60
RMSE,linear_interp,linear_interp,39.397942223572855,2,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-False,7.444864418420334,2,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-True,7.1508367949261915,2,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-False,7.823218556241013,3,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-True,8.560978974707947,3,MABE_task1_60stride60
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,11.747238699399041,3,MABE_task1_60stride60
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,9.45572726745718,3,MABE_task1_60stride60
MPJPE,TCN,type-TCN_mu_sigma-False,11.797888875556849,3,MABE_task1_60stride60
MPJPE,linear_interp,linear_interp,35.14588277821661,3,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-False,6.606544898433513,3,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-True,6.224372155222825,3,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.7367574360960452,3,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.6853325096349401,3,MABE_task1_60stride60
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.5456418446398335,3,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.63824221990779,3,MABE_task1_60stride60
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.527503176130655,3,MABE_task1_60stride60
PCK@0.01,linear_interp,linear_interp,0.35265211717622746,3,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.8146393945853834,3,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.8339262103467434,3,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-False,9.034699728621845,3,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-True,9.734512168403564,3,MABE_task1_60stride60
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,14.36860016528611,3,MABE_task1_60stride60
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,10.720244836550668,3,MABE_task1_60stride60
RMSE,TCN,type-TCN_mu_sigma-False,13.889313668419522,3,MABE_task1_60stride60
RMSE,linear_interp,linear_interp,41.00846094180362,3,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-False,7.6835205786479035,3,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-True,7.311441128323779,3,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-False,7.78625732557065,4,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-True,8.751135554927771,4,MABE_task1_60stride60
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,11.868641239663205,4,MABE_task1_60stride60
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,9.435356396207522,4,MABE_task1_60stride60
MPJPE,TCN,type-TCN_mu_sigma-False,12.180818289449933,4,MABE_task1_60stride60
MPJPE,linear_interp,linear_interp,36.41382656824829,4,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-False,6.601860715307547,4,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-True,6.37599224105882,4,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.7383764966722944,4,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.6734530285651159,4,MABE_task1_60stride60
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.5474379003495153,4,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.6295687337508783,4,MABE_task1_60stride60
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.5144855552165312,4,MABE_task1_60stride60
PCK@0.01,linear_interp,linear_interp,0.3459496720327315,4,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.8133164032454954,4,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.822094445364684,4,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-False,8.979968579931176,4,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-True,9.986194815100848,4,MABE_task1_60stride60
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,14.622721833702403,4,MABE_task1_60stride60
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,10.73287652309592,4,MABE_task1_60stride60
RMSE,TCN,type-TCN_mu_sigma-False,14.216322051525554,4,MABE_task1_60stride60
RMSE,linear_interp,linear_interp,42.42762336665342,4,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-False,7.720109481190987,4,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-True,7.512717161043787,4,MABE_task1_60stride60
