n_missing,method,test error,repeat
1,GRU,0.052921,1
1,GRU,0.053111,2
1,GRU,0.053952,3
1,GRU,0.053893,4
1,GRU,0.053416,5
2,GRU,0.060259,1
2,GRU,0.059697,2
2,GRU,0.059772,3
2,GRU,0.056312,4
2,GRU,0.057771,5
3,GRU,0.06017,1
3,GRU,0.060504,2
3,GRU,0.058169,3
3,GRU,0.057256,4
3,GRU,0.057331,5
4,GRU,0.060742,1
4,GRU,0.058451,2
4,GRU,0.0596,3
4,GRU,0.058321,4
4,GRU,0.056738,5
5,GRU,0.066264,1
5,GRU,0.070929,2
5,GRU,0.069242,3
5,GRU,0.067145,4
5,GRU,0.065504,5
6,GRU,0.074925,1
6,GRU,0.074806,2
6,GRU,0.072397,3
6,GRU,0.073696,4
6,GRU,0.074128,5
7,GRU,0.098339,1
7,GRU,0.084243,2
7,GRU,0.091508,3
7,GRU,0.097957,4
7,GRU,0.09541,5
1,linear_interp,0.071493,1
1,linear_interp,0.066702,2
1,linear_interp,0.067287,3
1,linear_interp,0.066288,4
1,linear_interp,0.064138,5
2,linear_interp,0.06928,1
2,linear_interp,0.070681,2
2,linear_interp,0.06597,3
2,linear_interp,0.068878,4
2,linear_interp,0.069009,5
3,linear_interp,0.070135,1
3,linear_interp,0.070379,2
3,linear_interp,0.070416,3
3,linear_interp,0.069722,4
3,linear_interp,0.06551,5
4,linear_interp,0.072283,1
4,linear_interp,0.064127,2
4,linear_interp,0.067842,3
4,linear_interp,0.065775,4
4,linear_interp,0.064373,5
5,linear_interp,0.068438,1
5,linear_interp,0.077478,2
5,linear_interp,0.068999,3
5,linear_interp,0.071109,4
5,linear_interp,0.072116,5
6,linear_interp,0.069438,1
6,linear_interp,0.070834,2
6,linear_interp,0.070568,3
6,linear_interp,0.078541,4
6,linear_interp,0.076372,5
7,linear_interp,0.074859,1
7,linear_interp,0.069112,2
7,linear_interp,0.071469,3
7,linear_interp,0.074086,4
7,linear_interp,0.073241,5
1,transformer_baseline,0.036476,1
1,transformer_baseline,0.035551,2
1,transformer_baseline,0.033911,3
1,transformer_baseline,0.034547,4
1,transformer_baseline,0.033936,5
2,transformer_baseline,0.031473,1
2,transformer_baseline,0.035022,2
2,transformer_baseline,0.038945,3
2,transformer_baseline,0.035756,4
2,transformer_baseline,0.037733,5
3,transformer_baseline,0.040315,1
3,transformer_baseline,0.040872,2
3,transformer_baseline,0.036695,3
3,transformer_baseline,0.037473,4
3,transformer_baseline,0.038143,5
4,transformer_baseline,0.040867,1
4,transformer_baseline,0.038066,2
4,transformer_baseline,0.039931,3
4,transformer_baseline,0.038539,4
4,transformer_baseline,0.038175,5
5,transformer_baseline,0.041312,1
5,transformer_baseline,0.04654,2
5,transformer_baseline,0.043827,3
5,transformer_baseline,0.043562,4
5,transformer_baseline,0.043,5
6,transformer_baseline,0.047865,1
6,transformer_baseline,0.049294,2
6,transformer_baseline,0.047643,3
6,transformer_baseline,0.05068,4
6,transformer_baseline,0.048855,5
7,transformer_baseline,0.07027,1
7,transformer_baseline,0.060423,2
7,transformer_baseline,0.06679,3
7,transformer_baseline,0.070222,4
7,transformer_baseline,0.068817,5
